X,UV,Green,Red
398,17,246,277
399,18,293,215
400,23,263,228
401,12,283,185
402,25,282,183
403,19,277,185
404,13,274,174
405,17,264,172
406,23,281,166
407,11,308,184
408,26,294,195
409,17,263,226
410,14,299,212
411,18,280,238
412,15,228,301
413,17,265,269
414,29,252,320
415,13,273,261
416,14,257,242
417,11,300,191
418,18,272,171
419,9,300,176
420,18,273,167
421,18,276,143
422,25,274,135
423,15,247,134
424,6,274,159
425,15,268,154
426,11,244,153
427,15,251,176
428,17,229,180
429,21,234,173
430,22,239,203
431,17,264,238
432,14,246,212
433,13,259,188
434,18,282,163
435,14,265,131
436,10,284,117
437,17,282,128
438,15,245,126
439,15,222,106
440,23,184,92
441,18,214,129
442,19,200,115
443,11,199,136
444,13,191,120
445,17,238,124
446,15,227,163
447,7,208,159
448,14,245,169
449,13,241,170
450,20,226,152
451,11,205,157
452,15,228,143
453,21,186,131
454,15,196,119
455,15,151,103
456,10,159,101
457,12,164,116
458,8,173,101
459,14,177,108
460,20,163,120
461,16,194,115
462,13,191,158
463,15,216,145
464,20,193,168
465,21,189,210
466,16,195,204
467,15,214,219
468,20,175,217
469,13,160,204
470,6,138,194
471,11,141,196
472,13,141,197
473,14,126,194
474,11,125,205
475,18,140,216
476,31,162,207
477,29,155,229
478,22,151,237
479,22,180,262
480,25,155,291
481,24,154,258
482,21,168,297
483,25,139,309
484,21,135,312
485,23,133,358
486,27,119,352
487,29,115,359
488,29,117,420
489,33,106,402
490,27,109,407
491,28,121,384
492,28,131,368
493,36,130,449
494,27,151,379
495,37,123,417
496,32,132,444
497,26,139,429
498,42,117,444
499,47,119,483
500,48,106,533
501,43,100,568
502,48,111,581
503,32,92,483
504,44,102,480
505,34,106,455
506,57,107,451
507,54,92,393
508,48,85,366
509,44,91,317
510,49,98,267
511,54,82,234
512,73,91,255
513,58,95,247
514,73,93,276
515,60,77,277
516,70,85,319
517,71,71,458
518,71,83,480
519,76,80,609
520,66,85,646
521,87,64,650
522,101,59,675
523,90,68,713
524,82,61,751
525,92,79,751
526,76,61,676
527,91,73,531
528,96,59,421
529,84,55,261
530,92,34,214
531,79,71,153
532,91,58,158
533,106,50,195
534,103,62,245
535,110,67,344
536,110,58,452
537,97,66,545
538,92,46,576
539,92,63,636
540,96,44,737
541,98,47,800
542,104,48,717
543,100,49,774
544,123,33,686
545,95,44,704
546,98,40,736
547,121,51,687
548,113,31,506
549,147,37,278
550,109,50,166
551,95,52,144
552,90,53,117
553,97,59,106
554,80,45,151
555,83,48,156
556,84,44,174
557,79,43,194
558,84,49,191
559,93,36,188
560,89,33,149
561,122,40,164
562,113,45,177
563,83,44,168
564,100,47,199
565,61,55,246
566,84,49,246
567,73,48,322
568,75,57,385
569,92,55,388
570,79,56,346
571,80,57,379
572,76,69,368
573,77,55,429
574,83,62,446
575,80,46,447
576,72,55,431
577,103,44,484
578,113,60,470
579,72,58,436
580,101,60,433
581,80,58,433
582,86,65,442
583,102,71,457
584,117,55,510
585,108,85,525
586,94,82,543
587,108,84,556
588,116,93,619
589,99,76,604
590,114,93,740
591,103,75,766
592,107,85,763
593,124,66,816
594,133,79,837
595,114,71,832
596,118,58,837
597,133,76,844
598,144,89,780
599,145,84,741
600,144,78,719
601,130,89,681
602,127,87,637
603,124,102,587
604,124,85,585
605,122,94,534
606,128,81,503
607,157,87,457
608,167,108,413
609,159,77,420
610,130,95,363
611,130,98,337
612,146,84,317
613,141,82,272
614,180,93,268
615,153,83,261
616,156,99,208
617,127,109,175
618,118,97,189
619,139,104,189
620,143,96,169
621,145,109,210
622,146,77,191
623,141,76,171
624,154,96,149
625,156,77,149
626,155,102,175
627,160,84,184
628,180,94,233
629,176,88,274
630,161,105,328
631,143,107,329
632,149,116,408
633,156,125,416
634,144,123,410
635,128,104,366
636,149,99,353
637,123,107,356
638,147,78,399
639,145,78,385
640,130,99,371
641,144,86,383
642,161,87,373
643,145,66,435
644,119,89,458
645,147,97,537
646,137,91,666
647,128,99,720
648,130,115,602
649,117,100,439
650,142,125,360
651,126,142,256
652,126,151,209
653,137,108,198
654,116,156,189
655,125,142,178
656,112,120,188
657,104,123,181
658,104,102,204
659,112,107,186
660,125,80,316
661,123,78,374
662,117,79,398
663,121,95,309
664,140,73,249
665,117,100,251
666,134,81,236
667,127,106,263
668,114,108,270
669,116,142,290
670,112,125,302
671,98,127,347
672,94,149,478
673,109,131,531
674,96,122,547
675,97,128,586
676,103,114,538
677,104,131,542
678,99,89,502
679,87,100,504
680,89,82,444
681,87,84,431
682,107,91,476
683,108,71,445
684,125,63,401
685,124,80,480
686,114,73,445
687,87,91,444
688,88,66,416
689,84,77,449
690,88,75,460
691,64,61,485
692,77,56,555
693,86,57,533
694,74,47,628
695,83,47,641
696,68,37,615
697,82,28,573
698,92,40,576
699,79,37,648
700,95,42,569
701,100,49,593
702,93,43,617
703,75,40,607
704,64,39,610
705,78,49,592
706,65,43,587
707,82,47,636
708,79,60,622
709,89,43,651
710,75,47,691
711,82,45,733
712,77,49,805
713,89,35,858
714,77,46,905
715,82,29,853
716,74,39,906
717,91,48,878
718,85,38,821
719,78,23,737
720,84,36,731
721,70,28,593
722,87,44,579
723,104,36,562
724,82,21,558
725,109,32,557
726,96,50,522
727,100,51,561
728,93,64,558
729,100,73,502
730,102,73,498
731,86,99,521
732,90,96,480
733,111,115,483
734,106,92,494
735,91,76,500
736,96,55,549
737,79,48,505
738,105,36,549
739,72,59,573
740,107,45,592
741,88,32,620
742,85,28,654
743,110,38,716
744,100,28,660
745,109,37,704
746,106,47,601
747,116,23,573
748,116,41,538
749,113,39,553
750,93,42,557
751,113,56,526
752,107,50,532
753,86,44,506
