X,UV,Green,Red
398,98,440,290
399,66,525,211
400,70,400,289
401,5,85,168
402,11,33,152
403,14,93,17
404,5,29,73
405,14,93,21
406,5,87,44
407,21,33,29
408,3,87,69
409,19,33,69
410,19,103,23
411,9,30,69
412,20,149,25
413,6,25,77
414,25,101,26
415,9,36,80
416,18,100,28
417,19,111,54
418,8,31,20
419,24,118,63
420,6,35,64
421,13,139,17
422,6,33,65
423,16,116,16
424,12,105,67
425,5,34,22
426,24,128,80
427,6,0,25
428,18,134,60
429,5,27,54
430,11,98,29
431,13,92,87
432,1,32,29
433,17,121,69
434,0,34,63
435,21,92,15
436,2,89,89
437,14,31,22
438,11,126,78
439,17,118,45
440,22,24,23
441,3,141,91
442,18,29,21
443,8,106,77
444,24,101,49
445,0,43,16
446,23,116,93
447,5,27,12
448,26,105,66
449,5,90,49
450,26,26,26
451,11,146,90
452,22,97,67
453,9,21,25
454,25,124,97
455,22,37,17
456,10,85,64
457,17,96,85
458,4,30,17
459,14,136,65
460,8,33,67
461,15,102,51
462,4,139,71
463,13,36,60
464,6,101,21
465,20,112,95
466,7,26,64
467,23,122,30
468,0,38,88
469,18,79,65
470,0,94,29
471,23,23,86
472,0,139,71
473,23,24,18
474,0,112,81
475,26,99,63
476,5,62,26
477,10,87,87
478,6,94,76
479,21,38,17
480,4,151,87
481,24,37,60
482,6,100,31
483,15,88,97
484,5,27,68
485,13,124,17
486,15,38,98
487,8,108,21
488,18,101,64
489,8,22,83
490,14,130,22
491,10,34,58
492,25,109,86
493,2,103,19
494,21,24,55
495,7,126,78
496,14,99,27
497,26,18,60
498,9,132,78
499,10,26,23
500,5,101,64
501,18,108,71
502,3,25,26
503,21,143,78
504,22,36,65
505,9,104,14
506,26,134,90
507,3,30,13
508,15,100,79
509,18,103,85
510,6,22,20
511,22,128,68
512,8,105,58
513,6,28,18
514,20,128,88
515,15,32,50
516,5,108,21
517,25,123,77
518,22,33,18
519,2,87,63
520,28,115,66
521,17,60,28
522,6,100,93
523,15,86,23
524,26,73,62
525,17,96,59
526,12,133,37
527,8,48,44
528,24,103,68
529,18,133,19
530,16,38,92
531,20,91,25
532,16,148,65
533,29,95,66
534,16,26,16
535,13,122,80
536,11,143,69
537,22,31,16
538,26,101,91
539,22,140,16
540,10,91,69
541,21,68,61
542,16,119,27
543,26,129,96
544,26,96,68
545,20,65,18
546,9,88,73
547,26,128,15
548,16,95,66
549,26,65,89
550,25,102,64
551,24,133,22
552,18,118,87
553,19,77,76
554,16,151,56
555,25,59,70
556,24,102,91
557,29,138,64
558,16,152,43
559,13,98,57
560,22,79,82
561,25,111,56
562,29,80,36
563,21,133,55
564,17,137,75
565,9,133,90
566,14,90,95
567,19,140,68
568,23,67,93
569,23,105,78
570,31,127,72
571,14,146,81
572,18,132,84
573,24,134,106
574,26,135,78
575,21,72,83
576,11,131,85
577,23,60,106
578,28,129,143
579,20,106,128
580,19,135,96
581,17,116,77
582,7,150,94
583,28,147,105
584,24,137,95
585,25,124,104
586,13,94,110
587,11,137,74
588,11,154,80
589,14,67,103
590,27,120,92
591,23,109,37
592,18,146,102
593,22,114,71
594,23,138,91
595,14,124,83
596,21,120,80
597,21,125,57
598,19,110,70
599,16,135,89
600,26,68,24
601,24,123,66
602,16,105,85
603,23,145,19
604,15,115,68
605,15,109,53
606,23,142,20
607,29,121,66
608,21,97,20
609,16,140,68
610,15,97,15
611,18,104,50
612,40,104,26
613,27,121,22
614,35,136,55
615,24,153,24
616,19,114,47
617,37,91,0
618,30,64,47
619,31,127,38
620,26,89,0
621,21,111,47
622,24,154,26
623,23,125,24
624,33,144,60
625,27,104,0
626,22,130,85
627,24,86,0
628,19,128,87
629,27,118,23
630,31,140,60
631,33,124,84
632,29,138,143
633,27,132,213
634,21,135,277
635,11,101,169
636,16,141,86
637,31,74,86
638,39,142,92
639,26,106,22
640,29,110,62
641,21,137,29
642,23,138,67
643,20,141,29
644,25,138,61
645,24,126,0
646,40,101,64
647,25,148,21
648,27,122,69
649,21,66,23
650,14,154,17
651,22,128,60
652,24,116,27
653,27,132,83
654,18,149,67
655,19,113,22
656,15,133,85
657,22,147,84
658,27,140,86
659,29,158,158
660,17,119,195
661,34,121,2945
662,23,141,286
663,29,124,183
664,16,147,146
665,20,152,83
666,26,107,77
667,34,146,80
668,25,198,83
669,26,127,41
670,21,147,71
671,24,165,24
672,24,141,75
673,27,141,14
674,25,149,58
675,21,137,23
676,19,159,59
677,22,219,17
678,22,128,64
679,16,168,16
680,26,115,55
681,22,142,21
682,23,159,61
683,31,194,21
684,25,145,54
685,24,145,79
686,29,140,22
687,25,233,74
688,22,180,67
689,27,134,80
690,30,163,96
691,24,195,84
692,25,162,87
693,18,142,96
694,29,218,82
695,27,184,117
696,16,133,102
697,31,198,86
698,29,212,81
699,21,135,105
700,29,226,94
701,32,163,121
702,18,151,113
703,20,255,82
704,22,142,77
705,22,194,92
706,18,179,79
707,23,148,87
708,13,234,106
709,42,118,124
710,41,201,98
711,22,175,86
712,25,251,95
713,20,160,110
714,38,160,106
715,31,221,96
716,14,153,84
717,43,232,134
718,27,146,122
719,26,249,80
720,46,161,112
721,24,215,146
722,44,176,105
723,24,146,103
724,58,265,123
725,35,172,108
726,44,230,79
727,58,130,85
728,31,289,154
729,32,150,102
730,50,206,82
731,46,162,92
732,53,264,130
733,47,148,135
734,49,168,88
735,41,223,99
736,46,158,118
737,48,231,107
738,54,124,110
739,48,205,164
740,52,186,74
741,41,238,100
742,47,187,163
743,63,182,96
744,59,224,140
745,51,123,85
746,42,258,144
747,58,160,93
748,50,154,1259
749,55,245,8297
750,11621,161,8250
751,5306,51097,8229
752,2453,48233,8106
753,2093,13730,8218
754,1716,10194,8191
755,1505,8173,8367
756,1373,6967,8261
757,1214,6107,8398
758,1242,5394,8361
759,1135,4815,8177
760,1116,4491,8579
761,1027,4048,8619
762,1046,3908,8928
763,1105,3711,8734
764,1061,3525,8956
765,1102,3546,8965
766,1091,3371,9149
767,1021,3598,9326
768,1122,3317,9291
769,1195,3581,6771
770,1244,3565,119
771,1308,3898,178
772,1409,3892,118
773,1516,4469,130
774,1870,4837,170
775,2213,5561,111
776,1420,6590,149
777,50,8117,192
778,29,11308,113
779,30,20547,165
780,44,18512,167
781,23,251,144
782,32,189,93
783,44,266,173
784,28,140,176
785,55,236,154
786,28,226,88
787,18,174,160
788,43,237,172
789,38,178,192
790,23,282,155
791,55,162,145
792,36,220,143
793,31,261,180
794,39,169,194
795,17,264,151
796,29,243,168
797,52,234,174
798,20,175,166
799,44,288,164
800,38,273,172
801,24,177,169
802,44,235,187
803,19,263,180
804,39,312,155
805,29,254,158
806,31,202,179
807,29,233,189
808,40,278,159
809,18,272,182
810,46,287,202
811,28,242,220
812,45,237,165
813,31,268,179
814,36,258,177
815,50,260,185
816,51,281,197
817,29,250,221
818,39,271,192
819,40,271,179
820,46,246,150
821,46,259,233
822,48,271,175
823,55,241,153
824,64,266,204
825,63,288,239
826,53,287,167
827,56,350,228
828,59,284,176
829,55,325,189
830,64,281,238
831,85,251,155
832,63,278,236
833,73,312,214
834,76,323,235
835,59,294,179
836,74,271,231
837,80,254,171
838,69,278,210
839,85,337,183
840,98,294,225
841,72,301,200
842,88,320,261
843,79,296,192
844,81,298,265
845,68,381,201
846,75,303,258
847,77,373,255
848,71,297,200
849,79,355,240
850,58,374,249
851,79,338,221
852,72,368,219
853,54,427,253
854,52,312,201
855,88,389,231
856,60,406,273
857,65,406,212
858,39,340,218
859,68,334,237
860,60,391,248
861,50,391,263
862,78,353,260
863,52,342,185
864,53,345,239
865,59,403,234
866,49,418,270
867,44,348,263
868,64,349,271
869,51,368,268
870,55,401,239
871,68,397,252
872,53,404,242
873,45,414,216
874,35,417,270
875,44,381,260
876,78,402,139
877,49,429,0
878,72,412,0
879,70,390,0
880,37,400,0
881,59,420,0
882,13,401,0
883,0,487,0
884,0,279,0
885,0,0,0
886,0,0,0
887,0,0,0
888,0,0,0
889,0,0,0
890,0,0,0
891,0,0,0
892,0,0,0
893,0,0,0
894,0,0,0
895,0,0,0
896,0,0,0
897,0,0,0
898,0,0,0
899,0,0,0
900,0,0,0
901,0,0,0
902,0,0,0
903,0,0,0
904,0,0,0
905,0,0,0
906,0,0,0
907,0,0,0
908,0,0,0
909,0,0,0
910,0,0,0
911,0,0,0
912,0,0,0
913,0,0,0
914,0,0,0
915,0,0,0
916,0,0,0
917,0,0,0
918,0,0,0
919,0,0,0
920,0,0,0
921,0,0,0
922,0,0,0
923,0,0,0
924,0,0,0
925,0,0,0
926,0,0,0
927,0,0,0
928,0,0,0
929,0,0,0
930,0,0,0
931,0,0,0
932,0,0,0
933,0,0,0
934,0,0,0
935,0,0,0
936,0,0,0
937,0,0,0
938,0,0,0
939,0,0,0
940,0,0,0
941,0,0,0
942,0,0,0
943,0,0,0
944,0,0,0
945,0,0,0
946,0,0,0
947,0,0,0
948,0,0,0
949,0,0,0
950,0,0,0
951,0,0,0
952,0,0,0
953,0,0,0
954,0,0,0
955,0,0,0
956,0,0,0
957,0,0,0
958,0,0,0
959,0,0,0
960,0,0,0
961,0,0,0
962,0,0,0
963,0,0,0
964,0,0,0
965,0,0,0
966,0,0,0
967,0,0,0
968,0,0,0
969,0,0,0
970,0,0,0
971,0,0,0
972,0,0,0
973,0,0,0
974,0,0,0
975,0,0,0
976,0,0,0
977,0,0,0
978,0,0,0
979,0,0,0
980,0,0,0
981,0,0,0
982,0,0,0
983,0,0,0
984,0,0,0
985,0,0,0
986,0,0,0
987,0,0,0
988,0,0,0
989,0,0,0
990,0,0,0
991,0,0,0
992,0,0,0
993,0,0,0
994,0,0,0
995,0,0,0
996,0,0,0
997,0,0,0
998,0,0,0
999,0,0,0
1000,0,0,0
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
1005,0,0,0
1006,0,0,0
1007,0,0,0
1008,0,0,0
1009,0,0,0
1010,0,0,0
1011,0,0,0
1012,0,0,0
1013,0,0,0
1014,0,0,0
1015,0,0,0
1016,0,0,0
1017,0,0,0
1018,0,0,0
1019,0,0,0
1020,0,0,0
1021,0,0,0
1022,0,0,0
1023,0,0,0
1024,0,0,0
1025,0,0,0
1026,0,0,0
1027,0,0,0
1028,0,0,0
1029,0,0,0
1030,0,0,0
1031,0,0,0
1032,0,0,0
1033,0,0,0
1034,0,0,0
1035,0,0,0
1036,0,0,0
1037,0,0,0
1038,0,0,0
1039,0,0,0
1040,0,0,0
1041,0,0,0
1042,0,0,0
1043,0,0,0
1044,0,0,0
1045,0,0,0
1046,0,0,0
1047,0,0,0
1048,0,0,0
1049,0,0,0
1050,0,0,0
1051,0,0,0
1052,0,0,0
1053,0,0,0
1054,0,0,0
1055,0,0,0
1056,0,0,0
1057,0,0,0
1058,0,0,0
1059,0,0,0
1060,0,0,0
1061,0,0,0
1062,0,0,0
1063,0,0,0
1064,0,0,0
1065,0,0,0
1066,0,0,0
1067,0,0,0
1068,0,0,0
1069,0,0,0
1070,0,0,0
1071,0,0,0
1072,0,0,0
1073,0,0,0
1074,0,0,0
1075,0,0,0
1076,0,0,0
1077,0,0,0
1078,0,0,0
1079,0,0,0
1080,0,0,0
1081,0,0,0
1082,0,0,0
1083,0,0,0
1084,0,0,0
1085,0,0,0
1086,0,0,0
1087,0,0,0
1088,0,0,0
1089,0,0,0
1090,0,0,0
1091,0,0,0
1092,0,0,0
1093,0,0,0
1094,0,0,0
1095,0,0,0
1096,0,0,0
1097,0,0,0
1098,0,0,0
1099,0,0,0
1100,0,0,0
1101,0,0,0
1102,0,0,0
1103,0,0,0
1104,0,0,0
1105,0,0,0
1106,0,0,0
1107,0,0,0
1108,0,0,0
1109,0,0,0
1110,0,0,0
1111,0,0,0
1112,0,0,0
1113,0,0,0
1114,0,0,0
1115,0,0,0
1116,0,0,127
1117,0,0,245
1118,0,0,263
1119,0,0,194
1120,0,0,242
1121,27,0,237
1122,94,0,205
1123,94,0,279
1124,84,65,232
1125,72,380,200
1126,96,352,238
1127,86,390,202
1128,93,351,209
1129,73,410,270
1130,95,335,226
1131,74,347,206
1132,78,385,239
1133,73,345,212
1134,70,321,199
1135,60,323,207
1136,80,356,199
1137,56,330,228
1138,67,318,198
1139,69,374,229
1140,51,361,243
1141,64,359,209
1142,53,365,184
1143,66,348,178
1144,50,273,201
1145,42,349,205
1146,39,323,220
1147,50,267,176
1148,37,339,199
1149,46,332,241
1150,46,256,154
1151,53,365,208
1152,48,328,181
1153,52,289,212
1154,44,374,175
1155,44,361,224
1156,53,271,186
1157,59,354,224
1158,36,353,142
1159,42,251,181
1160,33,331,238
1161,48,361,174
1162,42,264,182
1163,38,334,205
1164,45,361,196
1165,64,285,154
1166,34,336,148
1167,61,281,185
1168,45,340,232
1169,53,280,189
1170,36,323,167
1171,50,289,184
1172,32,232,164
1173,45,315,181
1174,49,273,189
1175,58,246,171
1176,26,357,178
1177,42,296,176
1178,62,275,154
1179,57,291,156
1180,37,309,165
1181,39,254,159
1182,72,279,158
1183,62,325,200
1184,43,346,169
1185,42,268,160
1186,71,242,181
1187,52,274,161
1188,64,356,169
1189,51,279,129
1190,47,231,201
1191,77,270,188
1192,60,284,168
1193,64,336,176
1194,62,295,139
1195,59,254,187
1196,72,269,186
1197,72,286,168
1198,66,277,135
1199,61,265,183
1200,60,311,177
1201,67,240,136
1202,53,254,170
1203,46,279,159
1204,76,271,142
1205,70,279,196
1206,68,266,170
1207,68,231,146
1208,65,312,145
1209,54,266,173
1210,74,279,143
1211,84,274,172
1212,55,278,180
1213,58,263,142
1214,56,347,169
1215,68,253,162
1216,55,271,146
1217,52,259,158
1218,57,292,143
1219,56,225,157
1220,39,255,168
1221,44,254,129
1222,40,279,175
1223,49,266,130
1224,41,255,182
1225,49,278,139
1226,32,260,171
1227,34,253,176
1228,35,249,125
1229,39,286,2685
1230,36,259,9256
1231,33,265,9262
1232,32,193,9369
1233,31,57128,9287
1234,28,53946,9319
1235,4887,49519,9529
1236,26366,7498,9542
1237,2684,6296,9483
1238,2037,5492,9665
1239,1793,4866,9496
1240,1491,4506,9548
1241,1472,4234,9571
1242,1270,4184,9449
1243,1186,3844,9364
1244,1177,3825,9273
1245,1155,3914,9353
1246,1173,3870,9075
1247,1136,3961,9170
1248,1103,4126,7779
1249,1125,4248,166
1250,874,4360,176
1251,23,4701,127
1252,19,5134,153
1253,20,5493,145
1254,34,5966,126
1255,15,6664,118
1256,26,7475,130
1257,23,8407,110
1258,28,9770,166
1259,26,278,130
1260,23,226,120
1261,12,191,110
1262,21,182,111
1263,25,219,192
1264,35,224,118
1265,16,202,134
1266,21,203,136
1267,27,183,177
1268,25,212,122
1269,38,130,149
1270,22,188,170
1271,23,218,138
1272,28,193,114
1273,27,133,137
1274,41,190,156
1275,28,195,132
1276,23,222,142
1277,44,152,143
1278,19,193,141
1279,20,141,129
1280,35,228,121
1281,41,217,89
1282,24,122,124
1283,47,183,130
1284,21,137,142
1285,41,177,71
1286,29,127,146
1287,32,193,135
1288,21,127,139
1289,37,213,133
1290,32,133,79
1291,45,212,120
1292,31,144,131
1293,45,193,145
1294,22,117,134
1295,45,136,107
1296,34,181,119
1297,34,143,105
1298,48,140,82
1299,34,202,136
1300,25,122,124
1301,28,124,88
1302,62,176,126
1303,28,144,72
1304,32,136,136
1305,39,206,81
1306,35,120,79
1307,44,120,112
1308,42,212,75
1309,36,147,129
1310,43,135,82
1311,28,141,126
1312,44,172,111
1313,37,134,189
1314,20,136,126
1315,37,192,179
1316,53,160,194
1317,41,126,179
1318,39,133,180
1319,29,186,151
1320,36,151,111
1321,33,110,75
1322,47,153,87
1323,47,210,42
1324,32,142,93
1325,35,134,39
1326,24,122,47
1327,29,192,0
1328,41,144,45
1329,24,128,40
1330,42,201,0
1331,36,127,32
1332,24,137,0
1333,38,136,48
1334,26,195,0
1335,29,133,31
1336,47,118,0
1337,24,211,49
1338,32,141,0
1339,30,124,37
1340,25,176,0
1341,22,117,42
1342,18,132,0
1343,17,144,47
1344,22,204,0
1345,20,122,36
1346,29,125,57
1347,31,187,57
1348,20,137,41
1349,19,126,98
1350,14,211,81
1351,22,133,130
1352,30,145,130
1353,24,189,99
1354,18,139,89
1355,23,150,78
1356,24,189,50
1357,10,142,84
1358,20,135,40
1359,23,203,46
1360,21,141,87
1361,25,116,50
1362,14,145,49
1363,28,193,38
1364,23,126,55
1365,30,116,47
1366,9,142,50
1367,23,200,92
1368,18,123,40
1369,18,125,45
1370,10,119,70
1371,29,218,36
1372,20,139,72
1373,9,133,47
1374,29,126,88
1375,28,133,70
1376,15,123,89
1377,32,188,104
1378,19,146,87
1379,23,133,118
1380,12,120,135
1381,33,129,122
1382,31,130,169
1383,13,132,159
1384,31,116,209
1385,24,128,220
1386,17,152,189
1387,11,145,213
1388,23,111,175
1389,34,154,157
1390,19,124,117
1391,22,133,98
1392,23,135,131
1393,20,64,95
1394,18,138,78
1395,28,115,96
1396,26,124,63
1397,21,138,81
1398,16,140,43
1399,26,60,92
1400,24,135,36
1401,28,124,94
1402,11,131,38
1403,25,60,92
1404,24,154,43
1405,30,114,91
1406,32,117,35
1407,15,67,54
1408,25,127,80
1409,29,131,42
1410,25,64,38
1411,26,131,91
1412,8,69,41
1413,15,112,41
1414,24,124,78
1415,18,59,41
1416,8,159,49
1417,27,143,75
1418,20,72,37
1419,23,140,48
1420,11,53,72
1421,24,139,50
1422,28,65,33
1423,6,141,81
1424,23,76,44
1425,22,115,46
1426,15,119,80
1427,24,62,42
1428,28,135,42
1429,17,82,48
1430,19,138,85
1431,24,79,43
1432,9,142,85
1433,26,60,37
1434,8,128,73
1435,26,61,48
1436,14,121,53
1437,24,58,90
1438,24,129,54
1439,14,74,75
1440,28,128,92
1441,8,68,40
1442,20,68,84
1443,17,125,47
1444,12,75,68
1445,28,138,44
1446,12,63,101
1447,29,137,42
1448,13,77,87
1449,21,144,42
1450,15,71,90
1451,10,139,80
1452,18,72,34
1453,9,151,89
1454,18,73,70
1455,7,123,55
1456,17,68,76
1457,33,125,90
1458,10,64,76
1459,22,57,44
1460,12,123,77
1461,13,54,78
1462,21,138,105
1463,14,68,42
1464,12,131,72
1465,19,69,93
1466,11,114,82
1467,12,74,47
1468,26,140,80
1469,23,63,86
1470,14,142,45
1471,26,61,87
1472,11,114,93
1473,14,69,73
1474,21,122,53
1475,14,68,89
1476,11,118,87
