Tempo_Y,Sensor_Esquerdo,Sensor_Direito
227.60,0.0000,-0.2294
227.80,0.0000,-0.2214
228.00,0.0000,-0.2134
228.20,0.0000,-0.2054
228.40,0.0000,-0.1974
228.60,0.0000,-0.1893
228.80,0.0000,-0.1813
229.00,0.0000,-0.1732
229.20,0.0000,-0.1651
229.40,0.0000,-0.1570
229.60,0.0000,-0.1490
229.80,0.0000,-0.1409
230.00,0.0000,-0.1328
230.20,0.0000,-0.1247
230.40,0.0000,-0.1166
230.60,0.0000,-0.1085
230.80,0.0000,-0.1005
231.00,0.0000,-0.0924
231.20,0.0000,-0.0844
231.40,0.0000,-0.0763
231.60,0.0000,-0.0683
231.80,0.0000,-0.0603
232.00,0.0000,-0.0523
232.20,0.0000,-0.0443
232.40,0.0000,-0.0364
232.60,0.0000,-0.0284
232.80,0.0000,-0.0205
233.00,0.0000,-0.0126
233.20,0.0000,-0.0048
233.40,0.0000,0.0030
233.60,0.0000,0.0108
233.80,0.0000,0.0186
234.00,0.0000,0.0263
234.20,0.0000,0.0340
234.40,0.0000,0.0417
234.60,0.0000,0.0493
234.80,0.0000,0.0569
235.00,0.0000,0.0645
235.20,0.0000,0.0720
235.40,0.0000,0.0794
235.60,0.0000,0.0868
235.80,0.0000,0.0942
236.00,0.0000,0.1015
236.20,0.0000,0.1088
236.40,0.0000,0.1160
236.60,0.0000,0.1232
236.80,0.0000,0.1303
237.00,0.0000,0.1373
237.20,0.0000,0.1443
237.40,0.0000,0.1513
237.60,0.0000,0.1582
237.80,0.0000,0.1650
238.00,0.0000,0.1717
238.20,0.0000,0.1784
238.40,0.0000,0.1851
238.60,0.0000,0.1917
238.80,0.0000,0.1982
239.00,0.0000,0.2046
239.20,0.0000,0.2110
239.40,0.0000,0.2173
239.60,0.0000,0.2235
239.80,0.0000,0.2296
240.00,0.0000,0.2357
240.20,0.0000,0.2417
240.40,0.0000,0.2476
240.60,0.0000,0.2535
240.80,0.0000,0.2593
241.00,0.0000,0.2650
241.20,0.0000,0.2706
241.40,0.0000,0.2761
241.60,0.0000,0.2816
241.80,0.0000,0.2870
242.00,0.0000,0.2922
242.20,0.0000,0.2975
242.40,0.0000,0.3026
242.60,0.0000,0.3076
242.80,0.0000,0.3126
243.00,0.0000,0.3174
243.20,0.0000,0.3222
243.40,0.0000,0.3269
243.60,0.0000,0.3315
243.80,0.0000,0.3360
244.00,0.0000,0.3404
244.20,0.0000,0.3447
244.40,0.0000,0.3490
244.60,0.0000,0.3531
244.80,0.0000,0.3571
245.00,0.0000,0.3611
245.20,0.0000,0.3649
245.40,0.0000,0.3687
245.60,0.0000,0.3724
245.80,0.0000,0.3759
246.00,0.0000,0.3794
246.20,0.0000,0.3828
246.40,0.0000,0.3861
246.60,0.0000,0.3893
246.80,0.0000,0.3923
247.00,0.0000,0.3953
247.20,0.0000,0.3982
247.40,0.0000,0.4010
247.60,0.0000,0.4037
247.80,0.0000,0.4063
248.00,0.0000,0.4088
248.20,0.0000,0.4112
248.40,0.0000,0.4135
248.60,0.0000,0.4156
248.80,0.0000,0.4177
249.00,0.0000,0.4197
249.20,0.0000,0.4216
249.40,0.0000,0.4234
249.60,0.0000,0.4251
249.80,0.0000,0.4267
250.00,0.0000,0.4281
250.20,0.0000,0.4295
250.40,0.0000,0.4308
250.60,0.0000,0.4320
250.80,0.0000,0.4331
251.00,0.0000,0.4340
251.20,0.0000,0.4349
251.40,0.0000,0.4357
251.60,0.0000,0.4364
251.80,0.0000,0.4370
252.00,0.0000,0.4374
252.20,0.0000,0.4378
252.40,0.0000,0.4381
252.60,0.0000,0.4383
252.80,0.0000,0.4383
253.00,0.0000,0.4383
253.20,0.0000,0.4382
253.40,0.0000,0.4380
253.60,0.0000,0.4377
253.80,0.0000,0.4373
254.00,0.0000,0.4368
254.20,0.0000,0.4362
254.40,0.0000,0.4355
254.60,0.0000,0.4347
254.80,0.0000,0.4338
255.00,0.0000,0.4328
255.20,0.0000,0.4317
255.40,0.0000,0.4305
255.60,0.0000,0.4293
255.80,0.0000,0.4279
256.00,0.0000,0.4265
256.20,0.0000,0.4249
256.40,0.0000,0.4233
256.60,0.0000,0.4216
256.80,0.0000,0.4197
257.00,0.0000,0.4178
257.20,0.0000,0.4159
257.40,0.0000,0.4138
257.60,0.0000,0.4116
257.80,0.0000,0.4094
258.00,0.0000,0.4070
258.20,0.0000,0.4046
258.40,0.0000,0.4021
258.60,0.0000,0.3995
258.80,0.0000,0.3969
259.00,0.0000,0.3941
259.20,0.0000,0.3913
259.40,0.0000,0.3884
259.60,0.0000,0.3854
259.80,0.0000,0.3823
260.00,0.0000,0.3792
260.20,0.0000,0.3760
260.40,0.0000,0.3727
260.60,0.0000,0.3693
260.80,0.0000,0.3659
261.00,0.0000,0.3624
261.20,0.0000,0.3588
261.40,0.0000,0.3551
261.60,0.0000,0.3514
261.80,0.0000,0.3476
262.00,0.0000,0.3438
262.20,0.0000,0.3399
262.40,0.0000,0.3359
262.60,0.0000,0.3318
262.80,0.0000,0.3277
263.00,0.0000,0.3235
263.20,0.0000,0.3193
263.40,0.0000,0.3150
263.60,0.0000,0.3107
263.80,0.0000,0.3063
264.00,0.0000,0.3018
264.20,0.0000,0.2973
264.40,0.0000,0.2927
264.60,0.0000,0.2881
264.80,0.0000,0.2834
265.00,0.0000,0.2787
265.20,0.0000,0.2739
265.40,0.0000,0.2691
265.60,0.0000,0.2642
265.80,0.0000,0.2593
266.00,0.0000,0.2543
266.20,0.0000,0.2493
266.40,0.0000,0.2443
266.60,0.0000,0.2392
266.80,0.0000,0.2341
267.00,0.0000,0.2289
267.20,0.0000,0.2237
267.40,0.0000,0.2185
267.60,0.0000,0.2132
267.80,0.0000,0.2079
268.00,0.0000,0.2026
268.20,0.0000,0.1972
268.40,0.0000,0.1919
268.60,0.0000,0.1864
268.80,0.0000,0.1810
269.00,0.0000,0.1755
269.20,0.0000,0.1700
269.40,0.0000,0.1645
269.60,0.0000,0.1590
269.80,0.0000,0.1534
270.00,0.0000,0.1478
270.20,0.0000,0.1422
270.40,0.0000,0.1366
270.60,0.0000,0.1310
270.80,0.0000,0.1254
271.00,0.0000,0.1197
271.20,0.0000,0.1140
271.40,0.0000,0.1084
271.60,0.0000,0.1027
271.80,0.0000,0.0970
272.00,0.0000,0.0913
272.20,0.0000,0.0856
272.40,0.0000,0.0799
272.60,0.0000,0.0742
272.80,0.0000,0.0685
273.00,0.0000,0.0628
273.20,0.0000,0.0570
273.40,0.0000,0.0513
273.60,0.0000,0.0456
273.80,0.0000,0.0399
274.00,0.0000,0.0343
274.20,0.0000,0.0286
274.40,0.0000,0.0229
274.60,0.0000,0.0172
274.80,0.0000,0.0116
275.00,0.0000,0.0000
275.20,0.0000,0.0000
275.40,0.0000,0.0000
275.60,0.0000,0.0000
275.80,0.0000,0.0000
276.00,0.0000,0.0000
276.20,0.0000,0.0000
276.40,0.0000,0.0000
276.60,0.0000,0.0000
276.80,0.0000,0.0000
277.00,0.0000,0.0000
277.20,0.0000,0.0000
277.40,0.0000,0.0000
277.60,0.0000,0.0000
277.80,0.0000,0.0000
278.00,0.0000,0.0000
278.20,0.0000,0.0000
278.40,0.0000,0.0000
278.60,0.0000,0.0000
278.80,0.0000,0.0000
279.00,0.0000,0.0000
279.20,0.0000,0.0000
279.40,0.0000,0.0000
279.60,0.0000,0.0000
279.80,0.0000,0.0000
280.00,0.0000,0.0000
280.20,0.0000,0.0000
280.40,0.0000,0.0000
280.60,0.0000,0.0000
280.80,0.0000,0.0000
281.00,0.0000,0.0000
281.20,0.0000,0.0000
281.40,0.0000,0.0000
281.60,0.0000,0.0000
281.80,0.0000,0.0000
282.00,0.0000,0.0000
282.20,0.0000,0.0000
282.40,0.0000,0.0000
282.60,0.0000,0.0000
282.80,0.0000,0.0000
283.00,0.0000,0.0000
283.20,0.0000,0.0000
283.40,0.0000,0.0000
283.60,0.0000,0.0000
283.80,0.0000,0.0000
284.00,0.0000,0.0000
284.20,0.0000,0.0000
284.40,0.0000,0.0000
284.60,0.0000,0.0000
284.80,0.0000,0.0000
285.00,0.0000,0.0000
285.20,0.0000,0.0000
285.40,0.0000,0.0000
285.60,0.0000,0.0000
285.80,0.0000,0.0000
286.00,0.0000,0.0000
286.20,0.0000,0.0000
286.40,0.0000,0.0000
286.60,0.0000,0.0000
286.80,0.0000,0.0000
287.00,0.0000,0.0000
287.20,0.0000,0.0000
287.40,0.0000,0.0000
287.60,0.0000,0.0000
287.80,0.0000,0.0000
288.00,0.0000,0.0000
288.20,0.0000,0.0000
288.40,0.0000,0.0000
288.60,0.0000,0.0000
288.80,0.0000,0.0000
289.00,0.0000,0.0000
289.20,0.0000,0.0000
289.40,0.0000,0.0000
289.60,0.0000,0.0000
289.80,0.0000,0.0000
290.00,0.0000,0.0000
290.20,0.0000,0.0000
290.40,0.0000,0.0000
290.60,0.0000,0.0000
290.80,0.0000,0.0000
291.00,0.0000,0.0000
291.20,0.0000,0.0000
291.40,0.0000,0.0000
291.60,0.0000,0.0000
291.80,0.0000,0.0000
292.00,0.0000,0.0000
292.20,0.0000,0.0000
292.40,0.0000,0.0000
292.60,0.0000,0.0000
292.80,0.0000,0.0000
293.00,0.0000,0.0000
293.20,0.0000,0.0000
293.40,0.0000,0.0000
293.60,0.0000,0.0000
293.80,0.0000,0.0000
294.00,0.0000,0.0000
294.20,0.0000,0.0000
294.40,0.0000,0.0000
294.60,0.0000,0.0000
294.80,0.0000,0.0000
295.00,0.0000,0.0000
295.20,0.0000,0.0000
295.40,0.0000,0.0000
295.60,0.0000,0.0000
295.80,0.0000,0.0000
296.00,0.0000,0.0000
296.20,0.0000,0.0000
296.40,0.0000,0.0000
296.60,0.0000,0.0000
296.80,0.0000,0.0000
297.00,0.0000,0.0000
297.20,0.0000,0.0000
297.40,0.0000,0.0000
297.60,0.0000,0.0000
297.80,0.0000,0.0000
298.00,0.0000,0.0000
298.20,0.0000,0.0000
298.40,0.0000,0.0000
298.60,0.0000,0.0000
298.80,0.0000,0.0000
299.00,0.0000,0.0000
299.20,0.0000,0.0000
299.40,0.0000,0.0000
299.60,0.0000,0.0000
299.80,0.0000,0.0000
300.00,0.0000,0.0000
300.20,0.0000,0.0000
