X,UV,Green,Red
354,0,5303,0
355,0,5364,0
356,0,5447,0
357,0,5472,0
358,0,5427,0
359,0,5492,0
360,0,5566,0
361,0,5719,0
362,0,5551,0
363,0,5576,0
364,0,5743,0
365,0,5536,0
366,0,5707,0
367,0,5685,0
368,0,5719,0
369,0,5620,0
370,0,5729,0
371,0,5774,0
372,0,5617,0
373,0,5705,0
374,0,5743,0
375,0,5669,0
376,0,5697,0
377,0,5700,0
378,0,5682,0
379,0,5781,0
380,0,5765,0
381,0,5985,0
382,0,5960,0
383,0,5830,0
384,0,5880,0
385,0,6189,0
386,0,6142,0
387,0,6065,0
388,0,6267,0
389,0,6249,0
390,0,6311,0
391,0,6255,0
392,0,6445,0
393,0,6200,0
394,0,6425,0
395,0,6714,0
396,0,6463,0
397,0,6533,0
398,0,6655,0
399,0,6644,0
400,0,6666,0
401,0,6700,0
402,0,7052,0
403,0,6894,0
404,0,6923,0
405,0,7003,0
406,0,6937,0
407,0,7057,0
408,0,7013,0
409,0,7049,0
410,0,7186,0
411,0,7223,0
412,0,7243,0
413,0,7299,0
414,0,7071,0
415,0,7140,0
416,0,7349,0
417,0,7240,0
418,0,7209,0
419,0,7332,0
420,0,7242,0
421,0,7195,0
422,0,7143,0
423,0,7157,0
424,0,7209,0
425,0,7111,0
426,0,7206,0
427,0,7103,0
428,0,7200,0
429,0,7045,0
430,0,7160,0
431,0,6959,0
432,0,6976,0
433,0,6927,0
434,0,6839,0
435,0,6840,0
436,0,6832,0
437,0,6633,0
438,0,6629,0
439,0,6557,0
440,0,6581,0
441,0,6528,0
442,0,6561,0
443,0,6475,0
444,0,6457,0
445,0,6452,0
446,0,6431,0
447,0,6444,0
448,0,6114,0
449,0,6161,0
450,0,6031,0
451,0,6205,0
452,0,5890,0
453,0,6081,0
454,0,5951,0
455,0,6102,0
456,0,5743,0
457,0,5823,0
458,0,5769,0
459,0,5785,0
460,0,5717,0
461,0,5736,0
462,0,5636,0
463,0,5675,0
464,0,5666,0
465,0,5625,0
466,0,5710,0
467,0,5721,0
468,0,5798,0
469,0,5735,0
470,0,5959,0
471,0,5679,0
472,0,5601,0
473,0,5679,0
474,0,5657,0
475,0,5637,0
476,0,5728,0
477,0,5881,0
478,0,5503,0
479,0,5646,0
480,0,5600,0
481,0,5437,0
482,0,5596,0
483,0,5605,0
484,0,5426,0
485,0,5419,0
486,0,5389,0
487,0,5534,0
488,0,5372,0
489,0,5429,0
490,0,5496,0
491,0,5408,0
492,0,5446,0
493,0,5508,0
494,0,5583,0
495,0,5474,0
496,0,5465,0
497,0,5546,0
498,0,5476,0
499,0,5499,0
500,0,5728,0
501,0,5764,0
502,0,5758,0
503,0,5919,0
504,0,5871,0
505,0,5932,0
506,0,5941,0
507,0,6098,0
508,0,6032,0
509,0,6086,0
510,0,6327,0
511,0,6178,0
512,0,6316,0
513,0,6342,0
514,0,6372,0
515,0,6394,0
516,0,6467,0
517,0,6452,0
518,0,6644,0
519,0,6558,0
520,0,6723,0
521,0,6697,0
522,0,6882,0
523,0,6745,0
524,0,7092,0
525,0,7163,0
526,0,7262,0
527,0,7224,0
528,0,7327,0
529,0,7346,0
530,0,7585,0
531,0,7422,0
532,0,7662,0
533,0,7571,0
534,0,7709,0
535,0,7842,0
536,0,7808,0
537,0,7823,0
538,0,7796,0
539,0,7850,0
540,0,7738,0
541,0,7855,0
542,0,7838,0
543,0,7771,0
544,0,7714,0
545,0,7769,0
546,0,7660,0
547,0,7710,0
548,0,7643,0
549,0,7865,0
550,0,7644,0
551,0,7526,0
552,0,7560,0
553,0,7600,0
554,0,7450,0
555,0,7223,0
556,0,7375,0
557,0,7213,0
558,0,7057,0
559,0,7013,0
560,0,6891,0
561,0,6961,0
562,0,6897,0
563,0,6803,0
564,0,6629,0
565,0,6637,0
566,0,6647,0
567,0,6394,0
568,0,6506,0
569,0,6445,0
570,0,6300,0
571,0,6342,0
572,0,6307,0
573,0,6229,0
574,0,6194,0
575,0,5894,0
576,0,5985,0
577,0,5968,0
578,0,5901,0
579,0,5671,0
580,0,5855,0
581,0,5696,0
582,0,5755,0
583,0,5658,0
584,0,5633,0
585,0,5782,0
586,0,5557,0
587,0,5661,0
588,0,5689,0
589,0,5659,0
590,0,5687,0
591,0,5556,0
592,0,5672,0
593,0,5666,0
594,0,5629,0
595,0,5801,0
596,0,5700,0
597,0,5751,0
598,0,5733,0
599,0,5692,0
600,0,5667,0
601,0,5726,0
602,0,5738,0
603,0,5876,0
604,0,5868,0
605,0,5864,0
606,0,5925,0
607,0,5859,0
608,0,5993,0
609,0,5856,0
610,0,5892,0
611,0,5964,0
612,0,6105,0
613,0,6064,0
614,0,6151,0
615,0,6226,0
616,0,6119,0
617,0,6122,0
618,0,6176,0
619,0,6247,0
620,0,6400,0
621,0,6518,0
622,0,6584,0
623,0,6661,0
624,0,6708,0
625,0,6799,0
626,0,6911,0
627,0,6999,0
628,0,7406,0
629,0,7273,0
630,0,7250,0
631,0,7470,0
632,0,7566,0
633,0,7821,0
634,0,7721,0
635,0,7927,0
636,0,7839,0
637,0,8136,0
638,0,8135,0
639,0,8040,0
640,0,8130,0
641,0,8129,0
642,0,8155,0
643,0,8090,0
644,0,8308,0
645,0,7955,0
646,0,8162,0
647,0,8246,0
648,0,8127,0
649,0,8194,0
650,0,8124,0
651,0,8011,0
652,0,7802,0
653,0,7924,0
654,0,7784,0
655,0,8080,0
656,0,7683,0
657,0,7628,0
658,0,7424,0
659,0,7622,0
660,0,7457,0
661,0,7314,0
662,0,7200,0
663,0,7307,0
664,0,7224,0
665,0,7022,0
666,0,6848,0
667,0,6913,0
668,0,6881,0
669,0,6736,0
670,0,6749,0
671,0,6849,0
672,0,6615,0
673,0,6560,0
674,0,6572,0
675,0,6568,0
676,0,6336,0
677,0,6260,0
678,0,6167,0
679,0,6165,0
680,0,6147,0
681,0,6022,0
682,0,6157,0
683,0,6056,0
684,0,6131,0
685,0,6030,0
686,0,5991,0
687,0,5940,0
688,0,5992,0
689,0,5934,0
690,0,6069,0
691,0,5989,0
692,0,6086,0
693,0,5858,0
694,0,5906,0
695,0,5913,0
696,0,5975,0
697,0,5983,0
698,0,5991,0
699,0,6090,0
700,0,6144,0
701,0,6122,0
702,0,6267,0
703,0,6156,0
704,0,6389,0
705,0,6341,0
706,0,6370,0
707,0,6520,0
708,0,6569,0
709,0,6664,0
710,0,6674,0
711,0,6803,0
712,0,7133,0
713,0,7078,0
714,0,7075,0
715,0,7149,0
716,0,7351,0
717,0,7345,0
718,0,7550,0
719,0,7930,0
720,0,7969,0
721,0,7856,0
722,0,8060,0
723,0,8213,0
724,0,8156,0
725,0,8285,0
726,0,8608,0
727,0,8723,0
728,0,8699,0
729,0,8628,0
730,0,8900,0
731,0,8906,0
732,0,9059,0
733,0,8894,0
734,0,9038,0
735,0,9083,0
736,0,9017,0
737,0,8992,0
738,0,9082,0
739,0,9080,0
740,0,8920,0
741,0,8945,0
742,0,8775,0
743,0,8481,0
744,0,8551,0
745,0,8623,0
746,0,8446,0
747,0,8398,0
748,0,8410,0
749,0,8241,0
750,0,8446,0
751,0,8066,0
752,0,7912,0
753,0,8009,0
754,0,7867,0
755,0,7740,0
756,0,7810,0
757,0,7616,0
758,0,7757,0
759,0,7596,0
760,0,7413,0
761,0,7643,0
762,0,7553,0
763,0,7599,0
764,0,7288,0
765,0,7279,0
766,0,7217,0
767,0,7289,0
768,0,7231,0
769,0,7222,0
770,0,7159,0
771,0,6957,0
772,0,7092,0
773,0,7185,0
774,0,7164,0
775,0,7218,0
776,0,7094,0
777,0,7211,0
778,0,7098,0
779,0,7085,0
780,0,7282,0
781,0,7111,0
782,0,7342,0
783,0,7511,0
784,0,7390,0
785,0,7410,0
786,0,7578,0
787,0,7601,0
788,0,7512,0
789,0,7762,0
790,0,7862,0
791,0,8032,0
792,0,8043,0
793,0,8074,0
794,0,8263,0
795,0,8142,0
796,0,8510,0
797,0,8601,0
798,0,8754,0
799,0,8751,0
800,0,8932,0
801,0,8950,0
802,0,9203,0
803,0,9270,0
804,0,9449,0
805,0,9522,0
806,0,9704,0
807,0,9856,0
808,0,9962,0
809,0,10076,0
810,0,10329,0
811,0,10551,0
812,0,10291,0
813,0,10457,0
814,0,10720,0
815,0,10768,0
816,0,10799,0
817,0,10893,0
818,0,10976,0
819,0,11015,0
820,0,11024,0
821,0,11085,0
822,0,10997,0
823,0,11215,0
824,0,11156,0
825,0,11187,0
826,0,11000,0
827,0,11081,0
828,0,11007,0
829,0,11138,0
830,0,11147,0
831,0,11056,0
832,0,11071,0
833,0,10993,0
834,0,10880,0
835,0,10682,0
836,0,10860,0
837,0,10892,0
838,0,10863,0
839,0,10902,0
840,0,10651,0
841,0,10757,0
842,0,10782,0
843,0,10696,0
844,0,10574,0
845,0,10847,0
846,0,10751,0
847,0,10601,0
848,0,10776,0
849,0,10709,0
850,0,10630,0
851,0,10675,0
852,0,10962,0
853,0,10798,0
854,0,10984,0
855,0,10702,0
856,0,10779,0
857,0,10999,0
858,0,10950,0
859,0,11068,0
860,0,11185,0
861,0,11096,0
862,0,11196,0
863,0,11379,0
864,0,11593,0
865,0,11482,0
866,0,11816,0
867,0,11843,0
868,0,11914,0
869,0,11863,0
870,0,12098,0
871,0,11993,0
872,0,12382,0
873,0,12555,0
874,0,12421,0
875,0,12557,0
876,0,13014,0
877,0,12873,0
878,0,12935,0
879,0,12982,0
880,0,13112,0
881,0,13293,0
882,0,13559,0
883,0,13474,0
884,0,13776,0
885,0,13723,0
886,0,13632,0
887,0,13776,0
888,0,13726,0
889,0,13756,0
890,0,13611,0
891,0,13511,0
892,0,13905,0
893,0,13639,0
894,0,13694,0
895,0,13636,0
896,0,13562,0
897,0,13489,0
898,0,13650,0
899,0,13546,0
900,0,13646,0
901,0,13504,0
902,0,13536,0
903,0,13496,0
904,0,13603,0
905,0,13481,0
906,0,13358,0
907,0,13293,0
908,0,13248,0
909,0,13375,0
910,0,13410,0
911,0,13372,0
912,0,13309,0
913,0,13385,0
914,0,13265,0
915,0,13215,0
916,0,13398,0
917,0,13553,0
918,0,13518,0
919,0,13488,0
920,0,13514,0
921,0,13478,0
922,0,13415,0
923,0,13707,0
924,0,13503,0
925,0,13611,0
926,0,13861,0
927,0,13779,0
928,0,13541,0
929,0,13638,0
930,0,13770,0
931,0,13772,0
932,0,13619,0
933,0,13691,0
934,0,13913,0
935,0,13763,0
936,0,13782,0
937,0,13822,0
938,0,13482,0
939,0,13650,0
940,0,13666,0
941,0,13205,0
942,0,12856,0
943,0,12970,0
944,0,13054,0
945,0,12902,0
946,0,12686,0
947,0,12604,0
948,0,12607,0
949,0,12370,0
950,0,12077,0
951,0,12074,0
952,0,11816,0
953,0,11784,0
954,0,11576,0
955,0,11493,0
956,0,11284,0
957,0,11238,0
958,0,11166,0
959,0,11067,0
960,0,10963,0
961,0,10904,0
962,0,10739,0
963,0,10902,0
964,0,10692,0
965,0,10593,0
966,0,10671,0
967,0,10438,0
968,0,10502,0
969,0,10284,0
970,0,10638,0
971,0,10571,0
972,0,10428,0
973,0,10410,0
974,0,10286,0
975,0,10437,0
976,0,10483,0
977,0,10471,0
978,0,10550,0
979,0,10618,0
980,0,10511,0
981,0,10535,0
982,0,10701,0
983,0,10790,0
984,0,10653,0
985,0,10817,0
986,0,10992,0
987,0,10988,0
988,0,11138,0
989,0,11017,0
990,0,11301,0
991,0,11174,0
992,0,11093,0
993,0,11315,0
994,0,11459,0
995,0,11347,0
996,0,11675,0
997,0,11480,0
998,0,11214,0
999,0,11250,0
1000,0,11667,0
1001,0,11466,0
1002,0,11484,0
1003,0,11317,0
1004,0,11445,0
1005,0,11419,0
1006,0,11347,0
1007,0,11341,0
1008,0,11285,0
1009,0,11096,0
1010,0,11133,0
1011,0,11202,0
1012,0,11168,0
1013,0,11055,0
1014,0,10947,0
1015,0,10682,0
1016,0,10846,0
1017,0,10808,0
1018,0,10548,0
1019,0,10691,0
1020,0,10544,0
1021,0,10647,0
1022,0,10606,0
1023,0,10516,0
1024,0,10585,0
1025,0,10257,0
1026,0,10527,0
1027,0,10564,0
1028,0,10445,0
1029,0,10628,0
1030,0,10587,0
1031,0,10688,0
1032,0,10570,0
1033,0,10517,0
1034,0,10810,0
1035,0,10865,0
1036,0,10963,0
1037,0,10889,0
1038,0,11101,0
1039,0,11255,0
1040,0,11349,0
1041,0,11347,0
1042,0,11426,0
1043,0,11634,0
1044,0,11752,0
1045,0,11728,0
1046,0,11993,0
1047,0,12009,0
1048,0,12154,0
1049,0,12343,0
1050,0,12349,0
1051,0,12810,0
1052,0,12764,0
1053,0,13007,0
1054,0,13036,0
1055,0,13293,0
1056,0,13420,0
1057,0,13452,0
1058,0,13469,0
1059,0,13600,0
1060,0,13690,0
1061,0,13945,0
1062,0,14028,0
1063,0,13769,0
1064,0,14125,0
1065,0,13874,0
1066,0,14222,0
1067,0,13907,0
1068,0,14365,0
1069,0,14098,0
1070,0,14009,0
1071,0,14031,0
1072,0,14043,0
1073,0,13974,0
1074,0,13902,0
1075,0,13796,0
1076,0,13675,0
1077,0,13848,0
1078,0,14029,0
1079,0,13780,0
1080,0,13951,0
1081,0,13722,0
1082,0,14026,0
1083,0,13743,0
1084,0,13564,0
1085,0,13628,0
1086,0,13593,0
1087,0,13730,0
1088,0,13651,0
1089,0,13530,0
1090,0,13896,0
1091,0,13856,0
1092,0,14025,0
1093,0,13922,0
1094,0,13898,0
1095,0,13858,0
1096,0,13640,0
1097,0,14016,0
1098,0,13976,0
1099,0,13874,0
1100,0,14045,0
1101,0,14187,0
1102,0,14122,0
1103,0,14168,0
1104,0,14098,0
1105,0,14270,0
1106,0,14105,0
1107,0,14301,0
1108,0,14228,0
1109,0,14028,0
1110,0,14322,0
1111,0,14115,0
1112,0,14196,0
1113,0,14248,0
1114,0,14286,0
1115,0,14309,0
1116,0,13996,0
1117,0,13971,0
1118,0,13891,0
1119,0,13703,0
1120,0,13554,0
1121,0,13352,0
1122,0,13112,0
1123,0,13273,0
1124,0,13225,0
1125,0,13028,0
1126,0,12796,0
1127,0,12801,0
1128,0,12532,0
1129,0,12692,0
1130,0,12360,0
1131,0,12394,0
1132,0,12216,0
1133,0,12142,0
1134,0,11942,0
1135,0,11833,0
1136,0,11941,0
1137,0,11748,0
1138,0,11712,0
1139,0,11503,0
1140,0,11391,0
1141,0,11245,0
1142,0,11398,0
1143,0,11226,0
1144,0,11184,0
1145,0,11219,0
1146,0,11199,0
1147,0,11201,0
1148,0,11185,0
1149,0,11340,0
1150,0,11164,0
1151,0,10898,0
1152,0,10947,0
1153,0,10866,0
1154,0,10899,0
1155,0,10894,0
1156,0,11045,0
1157,0,11079,0
1158,0,11051,0
1159,0,11101,0
1160,0,11243,0
1161,0,11190,0
1162,0,11348,0
1163,0,11185,0
1164,0,11193,0
1165,0,11267,0
1166,0,11382,0
1167,0,11488,0
1168,0,11356,0
1169,0,11553,0
1170,0,11369,0
1171,0,11593,0
1172,0,11536,0
1173,0,11318,0
1174,0,11334,0
1175,0,11529,0
1176,0,11680,0
1177,0,11529,0
1178,0,11409,0
1179,0,11397,0
1180,0,11423,0
1181,0,11325,0
1182,0,11143,0
1183,0,11267,0
1184,0,10987,0
1185,0,11057,0
1186,0,11082,0
1187,0,10803,0
1188,0,10809,0
1189,0,10501,0
1190,0,10419,0
1191,0,10293,0
1192,0,10311,0
1193,0,10140,0
1194,0,9864,0
1195,0,9753,0
1196,0,9639,0
1197,0,9681,0
1198,0,9279,0
1199,0,9079,0
1200,0,9039,0
1201,0,9025,0
1202,0,8934,0
1203,0,8546,0
1204,0,8672,0
1205,0,8268,0
1206,0,8282,0
1207,0,8286,0
1208,0,7969,0
1209,0,8236,0
1210,0,7980,0
1211,0,7788,0
1212,0,7892,0
1213,0,7561,0
1214,0,7606,0
1215,0,7574,0
1216,0,7473,0
1217,0,7654,0
1218,0,7417,0
1219,0,7382,0
1220,0,7380,0
1221,0,7314,0
1222,0,7246,0
1223,0,7281,0
1224,0,7423,0
1225,0,7290,0
1226,0,7384,0
1227,0,7173,0
1228,0,7289,0
1229,0,7181,0
1230,0,7325,0
1231,0,7300,0
1232,0,7348,0
1233,0,7339,0
1234,0,7298,0
1235,0,7526,0
1236,0,7592,0
1237,0,7710,0
1238,0,7561,0
1239,0,7733,0
1240,0,7797,0
1241,0,7783,0
1242,0,7845,0
1243,0,7904,0
1244,0,8009,0
1245,0,8108,0
1246,0,8204,0
1247,0,8093,0
1248,0,8354,0
1249,0,8323,0
1250,0,8448,0
1251,0,8554,0
1252,0,8521,0
1253,0,8680,0
1254,0,8715,0
1255,0,8856,0
1256,0,8956,0
1257,0,8890,0
1258,0,9087,0
1259,0,9237,0
1260,0,9345,0
1261,0,9156,0
1262,0,9318,0
1263,0,9065,0
1264,0,9248,0
1265,0,9135,0
1266,0,9257,0
1267,0,9333,0
1268,0,8885,0
1269,0,9251,0
1270,0,8960,0
1271,0,8994,0
1272,0,8730,0
1273,0,8680,0
1274,0,8787,0
1275,0,8582,0
1276,0,8442,0
1277,0,8135,0
1278,0,8024,0
1279,0,8004,0
1280,0,7840,0
1281,0,7737,0
1282,0,7672,0
1283,0,7631,0
1284,0,7208,0
1285,0,7274,0
1286,0,7077,0
1287,0,7166,0
1288,0,6799,0
1289,0,6825,0
1290,0,6982,0
1291,0,6762,0
