source_id,ra,dec,phot_g_mean_mag,astrometric_excess_noise,x_true_equator,y_true_equator,dgm_sector
6049434262158227456,246.2889697018904,-23.746098893990446,14.778034,60.668427,-1307.0698991424078,2687.7240460426397,Prograde
6050390081368207488,243.74063013809356,-23.271048135453224,14.926585,51.478138,7048.863483251198,590.4378245313496,Retrograde
6051869435600896512,246.93199874063365,-22.263650300157344,14.351407,44.79612,-3681.2363752762103,-2545.2898804904894,Prograde
6050422860560721280,244.26036517851213,-22.97681972629748,14.45392,36.32613,5279.813267219518,-388.34012459195174,Retrograde
6052304571622485120,247.617431037378,-21.525215625090276,13.368383,35.91449,-6072.382205332916,-5096.2250182809685,Prograde
6049419865427691904,245.75330075866748,-23.798245202580286,13.520907,35.534138,474.57824080666035,2793.499612880811,Retrograde
6050422860560270336,244.263453232872,-22.97739735926811,14.706198,32.790382,5269.687951080438,-385.79156499116925,Retrograde
6050407948434871808,243.54608212271054,-23.09349723927487,10.486308,30.50454,7663.353567274576,-77.758239865853,Retrograde
6050410662854003968,243.9785728618344,-23.254189033395598,14.637903,30.075441,6258.505443002843,566.1234508395869,Retrograde
6050395647645843072,243.58151268673842,-23.32171653707806,14.176748,26.862427,7583.925287467303,748.3665315086479,Retrograde
6049937082576078336,243.4711818784639,-24.00253654665137,14.942714,26.413141,8061.999129033084,3179.8789670398473,Retrograde
6051749726273388032,246.49191153418926,-22.871028823760557,14.127533,26.125107,-2123.885408862106,-428.2124431654247,Prograde
6049913271276641280,243.17481287464958,-24.19173377146744,14.409977,23.883347,9074.317963762971,3815.0352947201686,Retrograde
6050468799520954752,244.34425037224986,-22.990337250216488,14.541866,23.73371,5004.404555417591,-326.92642479752783,Retrograde
6050486941468081280,244.91407108302087,-22.788052395425037,14.2688055,23.399048,3084.82248649008,-967.414981276007,Retrograde
6051481037418365824,248.63351885866388,-21.970728972651322,14.886696,22.624432,-9361.639851874212,-3339.007466386347,Prograde
6051004124244968192,246.721009593504,-22.87054320952428,14.258803,21.237644,-2882.2536379874296,-394.99466252931063,Prograde
6051057175685982848,247.92811336262184,-22.694470554459404,13.212675,19.309378,-6906.821445345831,-843.9595635604635,Prograde
6050345448060695040,244.23369212474407,-23.490434951028064,13.114399,19.222324,5453.264290052639,1454.641498299305,Retrograde
6052077694277373952,245.172663555489,-22.04109851911184,12.717729,19.216486,2105.0537796778003,-3614.1294790962565,Retrograde
6050130592321648640,244.7126740013345,-23.842152608304538,10.688535,19.154293,3926.2113663817177,2792.5817312589793,Retrograde
6051121050439699072,247.55585139360682,-22.44346396720442,14.680208,18.734423,-5716.299250564036,-1803.4375295354314,Prograde
6050422104646020736,244.26528422583775,-22.9784652888628,14.534283,18.175642,5263.804660430874,-381.67165915506456,Retrograde
6050350842546471296,244.60411641132117,-23.38026203707864,14.504868,17.232677,4208.934761281062,1114.9728065310776,Retrograde
6050952515921144192,246.4701052703044,-23.326863062346664,12.7641535,17.066711,-1976.1239828569278,1207.7211534843982,Prograde
6049657909700402560,244.21533958543247,-24.584204451351628,14.9878,16.548372,5695.375061916637,5385.23168722189,Retrograde
6051167642243056384,248.78527945301647,-23.048243628676037,14.755589,15.217896,-9685.278936262232,559.0894556038288,Prograde
6052067386353836288,245.0972378858592,-22.177042554249525,13.839762,14.966065,2377.245786627452,-3136.761571524429,Retrograde
6051093665727486208,247.26219184469707,-22.644279083594895,14.431431,14.148864,-4711.021945158726,-1126.0876747959123,Prograde
6242742528178551296,244.35465756207668,-22.030449131086467,14.323279,12.578365,4810.7918215456,-3777.267771227133,Retrograde
6049368188383277952,246.50270514043973,-24.014851354831688,11.560639,12.564966,-1969.9452966814033,3686.8255938541383,Prograde
6049444054685669760,245.83833867766563,-23.73174639344314,14.77134,12.191626,182.086042957055,2567.336167716858,Retrograde
6050020645460936064,243.21791026538386,-23.434561484791114,12.391859,11.971986,8806.118312179004,1098.6854643958359,Retrograde
6242844748395119616,242.87152964892803,-22.373925065609217,14.204474,11.786082,9776.725548516913,-2768.416514117038,Retrograde
6242889416061230336,242.85818387478918,-22.015083411874443,14.710229,11.572942,9761.396304092585,-4060.912177797042,Retrograde
6242976174398906624,243.25923800279088,-21.911601828780793,13.873966,10.847794,8416.795131837283,-4371.843026767592,Retrograde
6051522578343047296,247.78123074065763,-21.9778620473663,13.964065,9.999587,-6539.483356678221,-3443.4288532444048,Prograde
6242742528174877696,244.35443218318593,-22.030380842414147,14.357074,9.966613,4811.526475789312,-3777.5477460578204,Retrograde
6052327798814423424,247.66249706134093,-21.522612008399474,14.793659,9.852216,-6221.9771838985425,-5098.710273014661,Prograde
6051231581418535552,248.76278797250743,-22.68262108675088,13.47936,9.780958,-9671.461354562187,-759.1872823036888,Prograde
6242733388487548416,244.2807072106254,-22.16281728312467,14.930981,9.770648,5077.507754708622,-3312.5342221067,Retrograde
6242980194488305408,243.16009168396113,-21.83582061526731,13.872137,9.666973,8732.391974362776,-4659.497208828144,Retrograde
6051734749725080960,245.88306473007657,-22.990581284606648,13.74175,9.39178,-88.85001907670251,-91.200422574409,Prograde
6050394479417395456,243.4763339890072,-23.342947328166606,14.458207,9.151651,7935.574875404009,808.6642588195242,Retrograde
6242796640466374784,243.62628083038473,-21.796651049987595,13.256353,9.02406,7182.8655825492915,-4729.209842865029,Retrograde
6051233475501932416,248.67103268543372,-22.663691977892405,14.330061,8.163421,-9370.900891854211,-841.263116949126,Prograde
6052094835484313472,244.9611756446649,-21.909960683477276,11.641977,7.493073,2783.3090239792473,-4118.001169166498,Retrograde
6242246957673983232,242.89591454502366,-23.01376361558635,13.70727,7.413796,9802.110769931345,-463.72091488104854,Retrograde
6050402038557188736,243.68228083543792,-23.242526668092253,13.812656,7.1861024,7237.263475676552,478.9644534160634,Retrograde
6050548715982482944,244.32871203049828,-22.500609814486573,14.732147,7.161235,4974.629312018881,-2090.445432637115,Retrograde
6050422826200455040,244.24899541871605,-22.984570919346595,14.838609,7.06411,5318.73112131636,-362.2006582149999,Retrograde
