source_id,ra,dec,phot_g_mean_mag,astrometric_excess_noise,x_true_equator,y_true_equator,dgm_sector
3817166310468370048,167.84419881672522,5.957825458660913,10.383249,113.09901,-6539.58750620027,-666.3585015840581,Retrograde
3814445976966593664,172.0095329235417,6.411823890957274,12.053735,40.78221,8260.790852219496,1779.809908304744,Prograde
3817067938537504256,169.31316135785084,6.262822710001629,13.272589,24.700315,-1348.5100062764225,717.1368119900166,Retrograde
3814131452217026816,172.15249741780167,5.504997978522506,12.148285,18.402897,8950.090184834215,-1451.9475818775995,Prograde
3814144062241236736,172.40400928561587,5.7891834214632105,14.187927,6.7542605,9793.296363528398,-381.2422896136062,Prograde
3817934491138223872,167.30646778167642,6.202733906810209,11.543248,6.5687566,-8509.929355155155,108.8845128233599,Retrograde
3817263239290959232,169.0680656327645,6.436882620195821,13.131814,5.405729,-2258.8561179666285,1294.9080084870432,Retrograde
3817382433222679296,169.9358511343462,6.189300349654327,9.013978,5.021601,891.8410986545903,574.5704771324934,Prograde
3817934486843409664,167.30658246447663,6.2027809242963645,11.231442,4.958313,-8509.528646113895,109.07594071229056,Retrograde
3816968325360127104,169.45331795481906,5.738989057362961,12.891618,4.881192,-744.5311458936735,-1138.4542399478953,Retrograde
3814421310969956608,171.82673247859609,6.34113530693973,13.623844,3.1094718,7621.237881762323,1489.9779999189368,Prograde
3816431252585118336,166.8189644966314,5.835165142080905,14.896058,2.840746,-10180.332355397077,-1307.6829904613592,Retrograde
3814330532541593984,171.17777963759588,6.077521961683469,10.478293,2.315365,5353.274849091974,415.5326217674391,Prograde
3814046824181571328,171.70202898623427,5.462632886756194,12.608822,2.297061,7348.149937628908,-1692.2890109672874,Prograde
3910321127461851520,172.59342567003844,6.325633173757819,14.342696,2.1753688,10364.946251846743,1584.121733952242,Prograde
3817075909996370944,169.51422175997166,6.3958977567756605,11.721334,2.1525211,-655.9470984793078,1234.7942818207662,Retrograde
3817186513994294016,167.74868930422573,6.227162212541126,13.639413,2.0603778,-6933.943175486967,283.1377884544116,Retrograde
3816441697945574528,166.9918941586528,6.0714341922936095,12.903108,2.0535274,-9608.611469567699,-424.58011567334967,Retrograde
3814376608950517504,170.86425686362722,6.133198028526055,8.589613,1.99303,4221.596091893873,554.3820815711763,Prograde
3814306068407684352,171.28425418429865,5.828190940193808,14.857049,1.7242838,5782.894252643071,-459.9070977377603,Prograde
3814148700805654528,172.01934641200364,5.626679447630351,14.763413,1.7201284,8450.203278166406,-1040.5752591830842,Prograde
3816963514996623360,169.1946708619668,5.634698247176645,13.179473,1.6254799,-1648.6044193492799,-1563.8997102935723,Retrograde
3814345616466717952,170.48054663098506,5.891133310049439,13.808356,1.6208918,2897.547295425608,-390.7560784267414,Prograde
3814363071213806848,170.2837265880226,6.02926780479546,4.0547566,1.5199182,2166.8316481574593,67.31317084342858,Prograde
3815670150020547968,167.4247068383911,5.872490114104297,13.8925905,1.4809313,-8022.351233508573,-1055.1069985210775,Retrograde
3814319915382252672,171.37059414871402,6.085563320141463,12.30005,1.4087213,6040.938927092385,482.12844381393865,Prograde
3814168079698162176,172.56603342964289,5.872763367257017,14.905629,1.3775629,10356.047290888584,-49.131925952854544,Prograde
3814326306293544576,170.93856599193865,6.000059898966435,9.939021,1.3191133,4513.39576537091,90.32528368530592,Prograde
3817391160596260992,170.12728739563838,6.338074257114856,14.926404,1.3035,1546.9151936977903,1146.778272048116,Prograde
3817152046881049216,168.39283842002573,6.226993103894377,13.450205,1.2699339,-4631.30115290976,408.44395327622215,Retrograde
3817067938536547712,169.31321107951607,6.262830685985655,13.491276,1.2410905,-1348.3338364439321,717.17520196343,Retrograde
3817065739513807744,169.22875306102702,6.188681616625941,14.441981,1.2294972,-1635.6666639864736,434.12746363366523,Retrograde
3814249580997770368,172.4374363217846,6.393187494532134,14.465929,1.2233961,9794.05977520855,1796.4627184217811,Prograde
3816947782532018176,169.35671081697225,5.56925656213841,14.612416,1.0448694,-1056.5044026723494,-1767.463818889899,Retrograde
