id,pos_x,velocity_x
0,56,10
1,56,10
2,56,10
3,56,10
4,56,10
5,56,10
6,56,10
7,56,10
8,56,10
9,56,10
10,56,10
11,56,10
12,56,10
13,56,10
14,56,10
15,56,10
16,56,10
17,56,10
18,56,10
19,56,10
20,56,10
21,56,10
22,56,10
23,56,10
24,56,10
25,56,10
26,56,10
27,56,10
28,56,10
29,56,10
30,56,10
31,56,10
32,56,10
33,56,10
34,56,10
35,56,10
36,56,10
37,56,10
38,56,10
39,56,10
40,56,10
41,56,10
42,56,10
43,56,10
44,56,10
45,56,10
46,56,10
47,56,10
48,56,10
49,56,10
50,56,10
51,56,10
52,56,10
53,56,10
54,56,10
55,56,10
56,56,10
57,56,10
58,56,10
59,56,10
60,56,10
61,56,10
62,56,10
63,56,10
64,56,10
65,56,10
66,56,10
67,56,10
68,56,10
69,56,10
70,56,10
71,56,10
72,56,10
73,56,10
74,56,10
75,56,10
76,56,10
77,56,10
78,56,10
79,56,10
80,56,10
81,56,10
82,56,10
83,56,10
84,56,10
85,56,10
86,56,10
87,56,10
88,56,10
89,56,10
90,56,10
91,56,10
92,56,10
93,56,10
94,56,10
95,56,10
96,56,10
97,56,10
98,56,10
99,56,10
100,56,10
101,56,10
102,56,10
103,56,10
104,56,10
105,56,10
106,56,10
107,56,10
108,56,10
109,56,10
110,56,10
111,56,10
112,56,10
113,56,10
114,56,10
115,56,10
116,56,10
117,56,10
118,56,10
119,56,10
120,56,10
121,56,10
122,56,10
123,56,10
124,56,10
125,56,10
126,56,10
127,56,10
128,47.786022,11.05022
129,47.786022,11.05022
130,47.786022,11.05022
131,47.786022,11.05022
132,47.786022,11.05022
133,47.786022,11.05022
134,47.786022,11.05022
135,47.786022,11.05022
136,47.786022,11.05022
137,47.786022,11.05022
138,47.786022,11.05022
139,47.786022,11.05022
140,47.786022,11.05022
141,47.786022,11.05022
142,47.786022,11.05022
143,47.786022,11.05022
144,47.786022,11.05022
145,47.786022,11.05022
146,47.786022,11.05022
147,47.786022,11.05022
148,47.786022,11.05022
149,47.786022,11.05022
150,47.786022,11.05022
151,47.786022,11.05022
152,47.786022,11.05022
153,47.786022,11.05022
154,47.786022,11.05022
155,47.786022,11.05022
156,47.786022,11.05022
157,47.786022,11.05022
158,47.786022,11.05022
159,47.786022,11.05022
160,47.786022,11.05022
161,47.786022,11.05022
162,47.786022,11.05022
163,47.786022,11.05022
164,47.786022,11.05022
165,47.786022,11.05022
166,47.786022,11.05022
167,47.786022,11.05022
168,47.786022,11.05022
169,47.786022,11.05022
170,47.786022,11.05022
171,47.786022,11.05022
172,47.786022,11.05022
173,47.786022,11.05022
174,47.786022,11.05022
175,47.786022,11.05022
176,47.786022,11.05022
177,47.786022,11.05022
178,47.786022,11.05022
179,47.786022,11.05022
180,47.786022,11.05022
181,47.786022,11.05022
182,47.786022,11.05022
183,47.786022,11.05022
184,47.786022,11.05022
185,47.786022,11.05022
186,47.786022,11.05022
187,47.786022,11.05022
188,47.786022,11.05022
189,47.786022,11.05022
190,47.786022,11.05022
191,47.786022,11.05022
192,47.786022,11.05022
193,47.786022,11.05022
194,47.786022,11.05022
195,47.786022,11.05022
196,47.786022,11.05022
197,47.786022,11.05022
198,47.786022,11.05022
199,47.786022,11.05022
200,47.786022,11.05022
201,47.786022,11.05022
202,47.786022,11.05022
203,47.786022,11.05022
204,47.786022,11.05022
205,47.786022,11.05022
206,47.786022,11.05022
207,47.786022,11.05022
208,47.786022,11.05022
209,47.786022,11.05022
210,47.786022,11.05022
211,47.786022,11.05022
212,47.786022,11.05022
213,47.786022,11.05022
214,47.786022,11.05022
215,47.786022,11.05022
216,47.786022,11.05022
217,47.786022,11.05022
218,47.786022,11.05022
219,47.786022,11.05022
220,47.786022,11.05022
221,47.786022,11.05022
222,47.786022,11.05022
223,47.786022,11.05022
224,47.786022,11.05022
225,47.786022,11.05022
226,47.786022,11.05022
227,47.786022,11.05022
228,47.786022,11.05022
229,47.786022,11.05022
230,47.786022,11.05022
231,47.786022,11.05022
232,47.786022,11.05022
233,47.786022,11.05022
234,47.786022,11.05022
235,47.786022,11.05022
236,47.786022,11.05022
237,47.786022,11.05022
238,47.786022,11.05022
239,47.786022,11.05022
240,47.786022,11.05022
241,47.786022,11.05022
242,47.786022,11.05022
243,47.786022,11.05022
244,47.786022,11.05022
245,47.786022,11.05022
246,47.786022,11.05022
247,47.786022,11.05022
248,47.786022,11.05022
249,47.786022,11.05022
250,47.786022,11.05022
251,47.786022,11.05022
252,47.786022,11.05022
253,47.786022,11.05022
254,47.786022,11.05022
255,47.786022,11.05022
