X,UV,Green,Red
354,0,5253,0
355,0,5105,0
356,0,5232,0
357,0,5313,0
358,0,5220,0
359,0,5380,0
360,0,5341,0
361,0,5359,0
362,0,5372,0
363,0,5253,0
364,0,5566,0
365,0,5531,0
366,0,5422,0
367,0,5617,0
368,0,5380,0
369,0,5471,0
370,0,5618,0
371,0,5624,0
372,0,5623,0
373,0,5667,0
374,0,5729,0
375,0,5698,0
376,0,5621,0
377,0,5649,0
378,0,5821,0
379,0,5803,0
380,0,5749,0
381,0,5921,0
382,0,6061,0
383,0,5958,0
384,0,5994,0
385,0,6161,0
386,0,6184,0
387,0,6099,0
388,0,6287,0
389,0,6369,0
390,0,6348,0
391,0,6628,0
392,0,6674,0
393,0,6736,0
394,0,6864,0
395,0,6780,0
396,0,6804,0
397,0,7066,0
398,0,7116,0
399,0,7196,0
400,0,7149,0
401,0,7259,0
402,0,7375,0
403,0,7460,0
404,0,7593,0
405,0,7484,0
406,0,7661,0
407,0,7825,0
408,0,7804,0
409,0,7845,0
410,0,7876,0
411,0,7941,0
412,0,7908,0
413,0,8051,0
414,0,8078,0
415,0,7995,0
416,0,8033,0
417,0,7840,0
418,0,8080,0
419,0,8234,0
420,0,7992,0
421,0,7960,0
422,0,8197,0
423,0,8127,0
424,0,8159,0
425,0,8032,0
426,0,7953,0
427,0,7965,0
428,0,7957,0
429,0,7878,0
430,0,7733,0
431,0,7815,0
432,0,7660,0
433,0,7500,0
434,0,7655,0
435,0,7492,0
436,0,7322,0
437,0,7319,0
438,0,7111,0
439,0,7060,0
440,0,7051,0
441,0,7128,0
442,0,6924,0
443,0,6923,0
444,0,6788,0
445,0,6778,0
446,0,6681,0
447,0,6590,0
448,0,6533,0
449,0,6569,0
450,0,6428,0
451,0,6386,0
452,0,6294,0
453,0,6241,0
454,0,6203,0
455,0,6130,0
456,0,5951,0
457,0,5907,0
458,0,5772,0
459,0,5953,0
460,0,5946,0
461,0,5770,0
462,0,5678,0
463,0,5746,0
464,0,5794,0
465,0,5601,0
466,0,5525,0
467,0,5497,0
468,0,5488,0
469,0,5518,0
470,0,5538,0
471,0,5497,0
472,0,5619,0
473,0,5640,0
474,0,5438,0
475,0,5430,0
476,0,5298,0
477,0,5415,0
478,0,5447,0
479,0,5389,0
480,0,5278,0
481,0,5395,0
482,0,5312,0
483,0,5244,0
484,0,5311,0
485,0,5122,0
486,0,5321,0
487,0,5170,0
488,0,5229,0
489,0,5181,0
490,0,5432,0
491,0,5275,0
492,0,5141,0
493,0,5342,0
494,0,5354,0
495,0,5167,0
496,0,5562,0
497,0,5508,0
498,0,5432,0
499,0,5463,0
500,0,5721,0
501,0,5707,0
502,0,5465,0
503,0,5707,0
504,0,5828,0
505,0,5753,0
506,0,5824,0
507,0,5993,0
508,0,5917,0
509,0,6057,0
510,0,6287,0
511,0,6406,0
512,0,6226,0
513,0,6431,0
514,0,6641,0
515,0,6604,0
516,0,6659,0
517,0,6973,0
518,0,6824,0
519,0,6872,0
520,0,7122,0
521,0,7019,0
522,0,7246,0
523,0,7325,0
524,0,7445,0
525,0,7621,0
526,0,7662,0
527,0,7826,0
528,0,7904,0
529,0,7958,0
530,0,8207,0
531,0,8201,0
532,0,8461,0
533,0,8415,0
534,0,8411,0
535,0,8528,0
536,0,8502,0
537,0,8757,0
538,0,8636,0
539,0,8874,0
540,0,8749,0
541,0,8880,0
542,0,8926,0
543,0,9012,0
544,0,8742,0
545,0,8994,0
546,0,8771,0
547,0,8798,0
548,0,8469,0
549,0,8494,0
550,0,8385,0
551,0,8378,0
552,0,8221,0
553,0,8156,0
554,0,7924,0
555,0,8046,0
556,0,7950,0
557,0,7764,0
558,0,7443,0
559,0,7530,0
560,0,7329,0
561,0,7274,0
562,0,7345,0
563,0,7139,0
564,0,6896,0
565,0,6840,0
566,0,6818,0
567,0,6856,0
568,0,6715,0
569,0,6581,0
570,0,6530,0
571,0,6399,0
572,0,6295,0
573,0,6411,0
574,0,6208,0
575,0,6294,0
576,0,6054,0
577,0,6052,0
578,0,6026,0
579,0,5885,0
580,0,5843,0
581,0,5675,0
582,0,5795,0
583,0,5727,0
584,0,5474,0
585,0,5628,0
586,0,5540,0
587,0,5566,0
588,0,5696,0
589,0,5471,0
590,0,5448,0
591,0,5500,0
592,0,5469,0
593,0,5516,0
594,0,5430,0
595,0,5550,0
596,0,5486,0
597,0,5515,0
598,0,5520,0
599,0,5449,0
600,0,5502,0
601,0,5411,0
602,0,5555,0
603,0,5464,0
604,0,5598,0
605,0,5640,0
606,0,5579,0
607,0,5679,0
608,0,5554,0
609,0,5882,0
610,0,5819,0
611,0,5720,0
612,0,5894,0
613,0,5925,0
614,0,5971,0
615,0,5960,0
616,0,6087,0
617,0,6136,0
618,0,6362,0
619,0,6356,0
620,0,6360,0
621,0,6604,0
622,0,6658,0
623,0,6764,0
624,0,6932,0
625,0,6935,0
626,0,7224,0
627,0,7351,0
628,0,7508,0
629,0,7608,0
630,0,7810,0
631,0,7807,0
632,0,8103,0
633,0,8477,0
634,0,8234,0
635,0,8455,0
636,0,8613,0
637,0,8786,0
638,0,8896,0
639,0,8806,0
640,0,9228,0
641,0,9182,0
642,0,9187,0
643,0,9073,0
644,0,9127,0
645,0,9305,0
646,0,8941,0
647,0,9153,0
648,0,9030,0
649,0,8909,0
650,0,8778,0
651,0,8857,0
652,0,8809,0
653,0,8417,0
654,0,8454,0
655,0,8418,0
656,0,8199,0
657,0,8227,0
658,0,7884,0
659,0,7930,0
660,0,7717,0
661,0,7563,0
662,0,7601,0
663,0,7432,0
664,0,7232,0
665,0,7057,0
666,0,7077,0
667,0,6977,0
668,0,6803,0
669,0,6874,0
670,0,6711,0
671,0,6637,0
672,0,6579,0
673,0,6539,0
674,0,6441,0
675,0,6324,0
676,0,6096,0
677,0,6316,0
678,0,6099,0
679,0,6094,0
680,0,6136,0
681,0,6016,0
682,0,5943,0
683,0,5726,0
684,0,5773,0
685,0,5863,0
686,0,5788,0
687,0,5801,0
688,0,5695,0
689,0,5734,0
690,0,5688,0
691,0,5560,0
692,0,5666,0
693,0,5593,0
694,0,5554,0
695,0,5700,0
696,0,5687,0
697,0,5739,0
698,0,5659,0
699,0,5721,0
700,0,5730,0
701,0,5780,0
702,0,5823,0
703,0,5850,0
704,0,5981,0
705,0,6084,0
706,0,6086,0
707,0,6255,0
708,0,6410,0
709,0,6294,0
710,0,6562,0
711,0,6640,0
712,0,6722,0
713,0,6774,0
714,0,6917,0
715,0,7082,0
716,0,7364,0
717,0,7243,0
718,0,7465,0
719,0,7760,0
720,0,7848,0
721,0,7888,0
722,0,7955,0
723,0,8166,0
724,0,8383,0
725,0,8678,0
726,0,8743,0
727,0,8687,0
728,0,8758,0
729,0,8789,0
730,0,8852,0
731,0,9047,0
732,0,9124,0
733,0,9152,0
734,0,9001,0
735,0,8777,0
736,0,9066,0
737,0,9020,0
738,0,8929,0
739,0,8918,0
740,0,9005,0
741,0,8621,0
742,0,8628,0
743,0,8383,0
744,0,8485,0
745,0,8406,0
746,0,8345,0
747,0,8134,0
748,0,8232,0
749,0,7867,0
750,0,7910,0
751,0,7876,0
752,0,7697,0
753,0,7589,0
754,0,7643,0
755,0,7459,0
756,0,7453,0
757,0,7467,0
758,0,7342,0
759,0,7354,0
760,0,7171,0
761,0,7067,0
762,0,7016,0
763,0,6914,0
764,0,6857,0
765,0,6756,0
766,0,6798,0
767,0,6760,0
768,0,6710,0
769,0,6566,0
770,0,6785,0
771,0,6605,0
772,0,6659,0
773,0,6562,0
774,0,6683,0
775,0,6461,0
776,0,6555,0
777,0,6343,0
778,0,6538,0
779,0,6467,0
780,0,6681,0
781,0,6484,0
782,0,6633,0
783,0,6553,0
784,0,6712,0
785,0,6648,0
786,0,6644,0
787,0,6831,0
788,0,6822,0
789,0,6928,0
790,0,6965,0
791,0,7046,0
792,0,7186,0
793,0,7258,0
794,0,7382,0
795,0,7281,0
796,0,7509,0
797,0,7684,0
798,0,7861,0
799,0,7765,0
800,0,8027,0
801,0,8094,0
802,0,8271,0
803,0,8267,0
804,0,8442,0
805,0,8692,0
806,0,8806,0
807,0,8887,0
808,0,8873,0
809,0,8964,0
810,0,9144,0
811,0,9271,0
812,0,9298,0
813,0,9279,0
814,0,9544,0
815,0,9476,0
816,0,9446,0
817,0,9607,0
818,0,9556,0
819,0,9732,0
820,0,9871,0
821,0,9552,0
822,0,9731,0
823,0,9887,0
824,0,9552,0
825,0,9447,0
826,0,9437,0
827,0,9447,0
828,0,9083,0
829,0,9228,0
830,0,9534,0
831,0,9236,0
832,0,9181,0
833,0,9263,0
