source_id,ra,dec,phot_g_mean_mag,astrometric_excess_noise,x_true_equator,y_true_equator,dgm_sector
6050390081368207488,243.74063013809356,-23.271048135453224,14.926585,51.478138,7048.863483251198,590.4378245313496,Retrograde
6050422860560721280,244.26036517851213,-22.97681972629748,14.45392,36.32613,5279.813267219518,-388.34012459195174,Retrograde
6050422860560270336,244.263453232872,-22.97739735926811,14.706198,32.790382,5269.687951080438,-385.79156499116925,Retrograde
6050407948434871808,243.54608212271054,-23.09349723927487,10.486308,30.50454,7663.353567274576,-77.758239865853,Retrograde
6050410662854003968,243.9785728618344,-23.254189033395598,14.637903,30.075441,6258.505443002843,566.1234508395869,Retrograde
6050395647645843072,243.58151268673842,-23.32171653707806,14.176748,26.862427,7583.925287467303,748.3665315086479,Retrograde
6051749726273388032,246.49191153418926,-22.871028823760557,14.127533,26.125107,-2123.885408862106,-428.2124431654247,Prograde
6050468799520954752,244.34425037224986,-22.990337250216488,14.541866,23.73371,5004.404555417591,-326.92642479752783,Retrograde
6050486941468081280,244.91407108302087,-22.788052395425037,14.2688055,23.399048,3084.82248649008,-967.414981276007,Retrograde
6051004124244968192,246.721009593504,-22.87054320952428,14.258803,21.237644,-2882.2536379874296,-394.99466252931063,Prograde
6051057175685982848,247.92811336262184,-22.694470554459404,13.212675,19.309378,-6906.821445345831,-843.9595635604635,Prograde
6050345448060695040,244.23369212474407,-23.490434951028064,13.114399,19.222324,5453.264290052639,1454.641498299305,Retrograde
6050422104646020736,244.26528422583775,-22.9784652888628,14.534283,18.175642,5263.804660430874,-381.67165915506456,Retrograde
6050350842546471296,244.60411641132117,-23.38026203707864,14.504868,17.232677,4208.934761281062,1114.9728065310776,Retrograde
6050952515921144192,246.4701052703044,-23.326863062346664,12.7641535,17.066711,-1976.1239828569278,1207.7211534843982,Prograde
6051167642243056384,248.78527945301647,-23.048243628676037,14.755589,15.217896,-9685.278936262232,559.0894556038288,Prograde
6051093665727486208,247.26219184469707,-22.644279083594895,14.431431,14.148864,-4711.021945158726,-1126.0876747959123,Prograde
6050020645460936064,243.21791026538386,-23.434561484791114,12.391859,11.971986,8806.118312179004,1098.6854643958359,Retrograde
6051231581418535552,248.76278797250743,-22.68262108675088,13.47936,9.780958,-9671.461354562187,-759.1872823036888,Prograde
6051734749725080960,245.88306473007657,-22.990581284606648,13.74175,9.39178,-88.85001907670251,-91.200422574409,Prograde
6050394479417395456,243.4763339890072,-23.342947328166606,14.458207,9.151651,7935.574875404009,808.6642588195242,Retrograde
