id,pos_x,pos_y
0,1.2056316,0
1,1.4718817,0.036132667
2,1.4687433,0.07215474
3,0.9104462,0.06715855
4,1.3486264,0.13282812
5,1.0430831,0.12865205
6,1.0110307,0.14997226
7,1.149648,0.19948283
8,1.6331904,0.3248618
9,0.88881874,0.19959089
10,1.0090504,0.25275403
11,1.2731209,0.35232005
12,1.712449,0.5194656
13,0.938393,0.3100032
14,1.3530804,0.4841399
15,1.475338,0.5691006
16,1.6632541,0.6889427
17,0.8936178,0.39611354
18,1.4724041,0.6963952
19,1.4755967,0.74275297
20,1.0588846,0.56598574
21,0.97720164,0.55357784
22,1.3851147,0.8302056
23,1.5925308,1.0084591
24,1.2926077,0.8636928
25,1.5398566,1.0844896
26,0.71742463,0.5320783
27,0.8920331,0.69614947
28,0.8234714,0.67580557
29,0.7644573,0.6594254
30,0.7142012,0.64731425
31,0.8628631,0.82151407
32,1.2349235,1.2349235
33,0.9739226,1.022943
34,1.0185792,1.1238291
35,0.86080295,0.99790996
36,0.90528697,1.1030952
37,0.45485342,0.58284074
38,0.59057534,0.79629874
39,0.54034686,0.7672336
40,0.52562207,0.78664905
41,0.53597057,0.84639
42,0.613902,1.0242336
43,0.45330313,0.8001919
44,0.6729506,1.2590022
45,0.52914983,1.0512402
46,0.7412868,1.5673195
47,0.48382714,1.0914965
48,0.41366258,0.9986698
49,0.6522965,1.6910154
50,0.6058379,1.6932034
51,0.798032,2.415678
52,0.2964687,0.9773265
53,0.36311975,1.3121458
54,0.25243238,1.0077668
55,0.2312835,1.0299523
56,0.19916256,1.0012581
57,0.23371874,1.3469542
58,0.2043822,1.3778328
59,0.14214244,1.1524609
60,0.14560378,1.4783398
61,0.10335556,1.4011585
62,0.05234655,1.0655391
63,0.02249012,0.91614926
64,-0.000000046897323,1.0728855
65,-0.033942398,1.3826606
66,-0.065473825,1.3327489
67,-0.14121105,1.914351
68,-0.13189366,1.3391378
69,-0.11751203,0.95276207
70,-0.21424448,1.4443179
71,-0.2798444,1.6127824
72,-0.22078343,1.1099534
73,-0.3214385,1.4314299
74,-0.26713118,1.0664473
75,-0.24242392,0.8760071
76,-0.41756186,1.3765165
77,-0.44370383,1.3431107
78,-0.3595886,1.0049827
79,-0.38244218,0.9914442
80,-0.29624507,0.71519876
81,-0.5952787,1.3429271
82,-0.84245425,1.78122
83,-0.5332965,1.0594783
84,-0.60658133,1.1348335
85,-0.9427513,1.6641886
86,-0.7424428,1.2386907
87,-0.92499447,1.4607255
88,-0.68058926,1.0185734
89,-0.41732472,0.5925555
90,-1.2316239,1.6606522
91,-0.5062372,0.64868283
92,-0.7476669,0.91103506
93,-1.0558172,1.2239856
94,-1.0903848,1.2030542
95,-0.90036005,0.94567734
96,-0.63962847,0.63962847
97,-0.80253017,0.764072
98,-0.6953897,0.63026434
99,-0.7469167,0.6442948
100,-0.7764589,0.63722336
101,-0.9781556,0.7633601
102,-0.7057219,0.5233989
103,-0.7984548,0.56233525
104,-1.0152615,0.67837596
105,-1.3334224,0.84438026
106,-0.9204942,0.55172306
107,-0.5792973,0.3281678
108,-0.9018423,0.4820446
109,-1.3665311,0.6878542
110,-0.9655917,0.45669088
111,-1.0389757,0.46054617
112,-1.1560316,0.47884378
113,-1.4504654,0.55950624
114,-0.8416088,0.30113235
115,-1.1525668,0.38075644
116,-0.6756379,0.20495251
117,-1.0954537,0.30315286
118,-0.72492254,0.18158355
119,-1.5320456,0.344032
120,-1.302588,0.2591008
121,-1.7604893,0.30547374
122,-1.1242708,0.16676964
123,-0.79397017,0.097926915
124,-1.0150107,0.09996979
125,-1.7150321,0.12650816
126,-1.0633875,0.05224067
127,-1.7582533,0.043162663
128,-0.8905917,-0.00000007785801
129,-0.77171767,-0.018944727
130,-0.94033545,-0.04619571
131,-1.3684169,-0.10094058
132,-1.0232784,-0.10078426
133,-1.1923993,-0.14706863
134,-1.5551441,-0.23068382
135,-1.3851975,-0.24035472
136,-1.2479078,-0.2482245
137,-1.185568,-0.2662282
138,-1.5740678,-0.3942836
139,-1.2227366,-0.33837703
140,-1.0833497,-0.32863083
141,-1.2538899,-0.4142294
142,-0.911997,-0.3263178
143,-0.7850936,-0.30284423
144,-0.6956983,-0.2881677
145,-0.9302543,-0.4123535
146,-1.4308728,-0.67675275
147,-0.7903301,-0.39781898
148,-1.1882468,-0.6351314
149,-1.3808815,-0.78226006
150,-0.9402023,-0.5635359
151,-0.6528099,-0.4133873
152,-1.1051253,-0.7384213
153,-0.743362,-0.5235349
154,-1.0198236,-0.75635284
155,-0.84189135,-0.65701836
156,-0.9822027,-0.8060731
157,-0.9574343,-0.82588875
158,-1.4931262,-1.3532904
159,-0.8919552,-0.84921205
160,-0.9337816,-0.9337819
161,-0.825032,-0.8665582
162,-0.68880755,-0.7599821
163,-0.8034231,-0.9313904
164,-0.65978706,-0.8039527
165,-0.996838,-1.2773302
